id,question,answer,category
FAQ-001,"How do I reset my password?","Click Forgot Password on the login page and follow the instructions sent to your email.","account"
FAQ-002,"I forgot my password. What should I do?","Use the Forgot Password option to reset your password by email.","account"
FAQ-003,"How can I change my email address?","Go to account settings and update your email in the profile section.","account"
FAQ-004,"How do I delete my account?","Open settings and choose Delete Account or contact support for help.","account"
FAQ-005,"How can I update my profile information?","Go to account settings and edit your profile details.","account"
FAQ-006,"Can I have multiple accounts?","Only one account per user is allowed unless your plan explicitly supports multi-user access.","account"
FAQ-007,"How do I enable two-factor authentication?","Open security settings and enable two-factor authentication for extra protection.","account"
FAQ-008,"Why am I unable to log in?","Check your credentials and make sure your account is active. Reset your password if needed.","account"
FAQ-009,"How do I update my billing information?","Open account settings and go to Billing to update your payment method.","billing"
FAQ-010,"I was charged twice. What should I do?","Please contact support with your transaction details so we can investigate the duplicate charge.","billing"
FAQ-011,"How can I cancel my subscription?","Open subscription settings and click Cancel Subscription.","billing"
FAQ-012,"Will I get a refund after cancellation?","Refunds depend on our refund policy and billing terms.","billing"
FAQ-013,"Why did my payment fail?","Check that your payment details are correct and that your card or balance is valid.","billing"
FAQ-014,"Can I change my subscription plan?","Yes. You can upgrade or downgrade your plan from the billing section.","billing"
FAQ-015,"Do you offer student discounts?","Yes. Student discounts are available after successful verification.","billing"
FAQ-016,"How do I view my invoices?","Go to the billing section in your account to download your invoices.","billing"
FAQ-017,"Why is the app not loading?","Try refreshing the page clearing cache or checking your internet connection.","technical"
FAQ-018,"The app is crashing. How do I fix it?","Restart the app and make sure you are using the latest version.","technical"
FAQ-019,"Why am I seeing an error message?","Note the error message and try again. Contact support if it continues.","technical"
FAQ-020,"The website is slow. What can I do?","Check your internet connection and try again during non-peak hours.","technical"
FAQ-021,"How do I update the app?","Visit the app store or website and install the latest version.","technical"
FAQ-022,"Features are not working properly. What should I do?","Try restarting the app or clearing cache. Contact support if the issue continues.","technical"
FAQ-023,"Why can't I upload files?","Check file size limits and supported formats before uploading.","technical"
FAQ-024,"Is the service down?","Check our status page or try again after a few minutes.","technical"
FAQ-025,"What services do you offer?","We provide digital services including account management support tools and workflow automation features.","general"
FAQ-026,"How can I contact support?","You can contact support through email chat or the help center.","general"
FAQ-027,"What are your working hours?","Our support team is available 24 hours a day and 7 days a week.","general"
FAQ-028,"Where can I find help documentation?","Visit our help center for step-by-step guides and documentation.","general"
FAQ-029,"Do you have a mobile app?","Yes. Our mobile app is available on Android and iOS.","general"
FAQ-030,"How do I give feedback?","You can submit feedback through the app or by contacting support.","general"
FAQ-031,"Is my data secure?","Yes. We use security controls to protect customer data.","general"
FAQ-032,"Can I use your service internationally?","Yes. Our services are available globally unless local regulations restrict access.","general"
FAQ-033,"How do I change my username?","Go to profile settings and update your display name if your plan allows it.","account"
FAQ-034,"Can I change my account ID?","Account IDs are fixed for security and audit reasons and usually cannot be changed.","account"
FAQ-035,"How do I verify my email address?","Open the verification email we sent and click the confirmation link.","account"
FAQ-036,"I did not receive the verification email. What should I do?","Check spam or promotions folders and request a new verification email from account settings.","account"
FAQ-037,"How do I resend the verification email?","Use the resend verification option in account settings or on the login screen.","account"
FAQ-038,"Can I sign in with Google?","If social login is enabled on your workspace you can sign in with Google from the login page.","account"
FAQ-039,"Can I sign in with Apple?","If Apple sign-in is enabled you can use it from the login page.","account"
FAQ-040,"Can I sign in with Microsoft?","If Microsoft sign-in is enabled you can use it from the login page.","account"
FAQ-041,"How do I log out from all devices?","Open security settings and choose the option to sign out from all sessions.","account"
FAQ-042,"How do I see active sessions?","Go to security settings to review your active sessions and connected devices.","account"
FAQ-043,"How do I remove a device from my account?","Open active sessions in security settings and revoke the device you no longer trust.","account"
FAQ-044,"My account is locked. How do I unlock it?","Wait for the lockout period to end or contact support if you need manual review.","account"
FAQ-045,"Why was my account suspended?","Accounts may be suspended for policy or security reasons. Contact support for review details.","account"
FAQ-046,"How do I reactivate my account?","Sign in and follow the reactivation steps or contact support if reactivation is unavailable.","account"
FAQ-047,"How do I update my phone number?","Open account settings and update your phone number in the profile or security section.","account"
FAQ-048,"How do I add a recovery email?","Go to account security settings and add a backup recovery email.","account"
FAQ-049,"How do I add a backup phone number?","Open security settings and add a recovery phone number if the feature is enabled.","account"
FAQ-050,"How do I change my password after signing in?","Open security settings and choose Change Password.","account"
FAQ-051,"How often should I change my password?","Use a strong unique password and update it anytime you suspect your account may be at risk.","account"
FAQ-052,"Can I merge two accounts?","Account merging is not supported unless approved by support for special cases.","account"
FAQ-053,"Can I transfer my account to another email?","You can usually update the account email from settings but ownership review may be required.","account"
